"Designator,""Footprint"",""Quantity"",""Comment"",""LCSC Part#"""
"U3,""LQFP-64_10.0x10.0x0.5P"",1,"""",""C15742"""
"Y1,""SMD-5032_2P"",1,"""",""C115962"""
"C17,C16,C15,C3,C4,C5,C6,C9,C10,C14,C13,""0603"",11,"""",C14663"
"C7,C8,""0603"",2,,""C1648"""
"C2,C1,""0805"",2,,C15850"
"C11,C12,""0805"",2,,C49217"
"D1,""LED_0805"",1,,C2297"
"U2,""SOT-223"",1,,C6186"
"Q1,""SOT-23-3"",1,,C8589"
"R1,R4,R5,R6,""0805"",4,,C17734"
"R2,R3,""0805"",2,,C17414"
"RN1,RN2,""0603_x4"",2,,C25506"
"J2,""microUSB-B-conn"",1,"""",C10418"
"XS2,""mSD conn"",1,"""",C91145"
