Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","0805",79.121000,-105.346500,90.000000,top
"C2","10u","0805",89.970500,-99.504500,0.000000,top
"C3","100n","0603",91.948000,-105.777000,270.000000,top
"C4","100n","0603",96.329500,-99.441000,0.000000,top
"C5","100n","0603",97.345500,-108.888500,270.000000,top
"C6","100n","0603",116.332000,-98.425000,0.000000,top
"C7","20p","0603",115.252500,-92.773500,0.000000,top
"C8","20p","0603",110.666500,-92.710000,0.000000,top
"C9","100n","0603",118.949500,-80.137000,180.000000,top
"C10","100n","0603",113.143000,-109.664500,0.000000,top
"C11","2.2u","0805",96.193500,-105.410000,0.000000,top
"C12","2.2u","0805",109.537500,-112.195500,270.000000,top
"C13","100n","0603",114.504500,-95.567500,0.000000,top
"C14","100n","0603",103.060500,-93.027500,0.000000,top
"C15","100n","0603",94.502000,-84.010500,0.000000,top
"C16","100n","0603",113.587500,-80.137000,0.000000,top
"C17","100n","0603",88.505000,-84.010500,0.000000,top
"D1","LED","LED_0805",127.054500,-77.851000,0.000000,top
"Q1","BC817","SOT-23-3",83.312000,-115.713000,90.000000,top
"R1","510R","0805",123.244500,-80.200500,0.000000,top
"R2","10k","0805",119.625000,-100.393500,0.000000,top
"R3","10k","0805",89.988500,-111.633000,0.000000,top
"R4","510R","0805",85.344000,-111.633000,0.000000,top
"R5","510R","0805",109.220000,-76.526500,270.000000,top
"R6","510R","0805",89.598500,-76.526500,270.000000,top
"U2","AMS1117-3.3","SOT-223",85.559500,-104.076500,180.000000,top
"U3","STM32F405RGTx","LQFP-64_10.0x10.0x0.5P",106.362500,-102.171500,180.000000,top
"Y1","8MHz","SMD-5032_2P",114.240000,-89.154000,0.000000,top
"RN1","100R","0603_x4",115.386000,-115.813000,0.000000,top
"RN2","100R","0603_x4",124.961500,-115.835000,0.000000,top
